"termino","Estimate","Std. Error","z value","Pr(>|z|)","respuesta","componente"
"(Intercept)",1.88735106881488,0.0725367975830973,26.0192224043632,3.00150239533667e-149,"total_mosquito_emerged","conteo"
"temperature_z",-0.0904298120130774,0.0765261779165792,-1.18168467934795,0.237330839599854,"total_mosquito_emerged","conteo"
"ph_z",-0.0159657898962802,0.0651957803309545,-0.244889927158365,0.80654166123009,"total_mosquito_emerged","conteo"
"log_volume_z",-0.18228415455285,0.0705492138501794,-2.58378718351071,0.00977220725778106,"total_mosquito_emerged","conteo"
"Log(theta)",0.437487901287883,0.18178240669076,2.40665699861768,0.0160992825031289,"total_mosquito_emerged","conteo"
"(Intercept)",1.69167153359246,0.0879379326045244,19.2371083045614,1.81030071469646e-82,"total_mosquito_emerged","cero_inflado"
"temperature_z",-0.00464707359125571,0.0845402953210537,-0.0549687409253515,0.956163367253854,"total_mosquito_emerged","cero_inflado"
"ph_z",-0.0868504964486875,0.0854653419256836,-1.01620720741056,0.309530724964858,"total_mosquito_emerged","cero_inflado"
"log_volume_z",-0.358836677811031,0.0802507768840078,-4.47144179463438,7.76940069730662e-06,"total_mosquito_emerged","cero_inflado"
"(Intercept)",-0.0174457596912169,0.235743868778737,-0.0740030261724052,0.941007977328181,"aedes_aegypti","conteo"
"temperature_z",-0.316866957892756,0.206397945679981,-1.53522340955882,0.124728959980629,"aedes_aegypti","conteo"
"ph_z",0.179449718750716,0.186931611121996,0.959975242676334,0.337067675162548,"aedes_aegypti","conteo"
"log_volume_z",-0.109188265309487,0.211027032191678,-0.517413642107756,0.604867438546637,"aedes_aegypti","conteo"
"Log(theta)",-2.77727781291696,0.188647411452732,-14.7220563035016,4.65293733286104e-49,"aedes_aegypti","conteo"
"(Intercept)",-1.09089915351133,0.699015556593689,-1.56062213955193,0.11861293186732,"aedes_aegypti","cero_inflado"
"temperature_z",-0.654446277445739,0.413090577336664,-1.58426822917428,0.113132692490554,"aedes_aegypti","cero_inflado"
"ph_z",0.141009166732774,0.261110287613843,0.540036809814684,0.589171647310231,"aedes_aegypti","cero_inflado"
"log_volume_z",-2.2613852709832,0.694270212058705,-3.257212007235,0.00112512364650712,"aedes_aegypti","cero_inflado"
"(Intercept)",-1.27563432654939,0.209310202139557,-6.09446798822958,1.09802001626463e-09,"aedes_albopictus","conteo"
"temperature_z",0.051395355799709,0.202094308289245,0.25431372231498,0.799253199356881,"aedes_albopictus","conteo"
"ph_z",0.254631041149299,0.18510093806838,1.37563344522453,0.168935146656155,"aedes_albopictus","conteo"
"log_volume_z",-0.788265847178849,0.24914527746694,-3.16388034801682,0.00155680784258648,"aedes_albopictus","conteo"
"Log(theta)",-3.83094429870217,0.157836380136386,-24.2716178322885,3.91007530409777e-130,"aedes_albopictus","conteo"
"(Intercept)",-359.354418342495,467.828599447127,-0.768132642525862,0.44240838564714,"aedes_albopictus","cero_inflado"
"temperature_z",57.9001208857135,75.6891928857885,0.764972100747357,0.444288157976827,"aedes_albopictus","cero_inflado"
"ph_z",126.020401254454,164.572070504399,0.765745979060799,0.443827463054381,"aedes_albopictus","cero_inflado"
"log_volume_z",-284.978459201296,373.739088027991,-0.762506433846579,0.445757804669054,"aedes_albopictus","cero_inflado"
