"respuesta","modelo","aic","convergio","comentario"
"aedes_aegypti","ZINB lineal",1405.68755672703,TRUE,"ZINB lineal ya usado para evaluar ceros y sobredispersion."
"aedes_aegypti","ZINB con splines",1410.37286354565,TRUE,"Splines en el componente de conteo; componente de cero inflado lineal para mantener parsimonia."
"aedes_aegypti","NB lineal",1422.38904133942,TRUE,"Efectos lineales de temperatura, pH y log-volumen."
"aedes_aegypti","NB con splines",NA,FALSE,"Splines naturales df = 3 para temperatura, pH y log-volumen."
"aedes_albopictus","ZINB lineal",848.422266789527,TRUE,"ZINB lineal ya usado para evaluar ceros y sobredispersion."
"aedes_albopictus","NB lineal",853.788834031778,TRUE,"Efectos lineales de temperatura, pH y log-volumen."
"aedes_albopictus","NB con splines",859.315524020001,TRUE,"Splines naturales df = 3 para temperatura, pH y log-volumen."
"aedes_albopictus","ZINB con splines",860.389969569844,TRUE,"Splines en el componente de conteo; componente de cero inflado lineal para mantener parsimonia."
"total_mosquito_emerged","ZINB lineal",2111.96902882228,TRUE,"ZINB lineal ya usado para evaluar ceros y sobredispersion."
"total_mosquito_emerged","ZINB con splines",2115.36482642439,TRUE,"Splines en el componente de conteo; componente de cero inflado lineal para mantener parsimonia."
"total_mosquito_emerged","NB lineal",2197.26564763858,TRUE,"Efectos lineales de temperatura, pH y log-volumen."
"total_mosquito_emerged","NB con splines",2202.22764052297,TRUE,"Splines naturales df = 3 para temperatura, pH y log-volumen."
