"variable","n","media","mediana","varianza","minimo","maximo"
"capacity_num",8686,7690.19468109602,500,3817110727.72945,1,2e+06
"actual_water_num",8749,2659.20059435364,0,1157596863.36774,0,2e+06
"final_volume_num",8772,3165.21283629731,0,1228553376.40539,0,2e+06
"temperature_num",8772,4.04093707250342,0,94.0578439741493,0,38.5
"ph_num",8772,1.19508663930689,0,8.16086857076207,0,9.8
"prevalence",8772,0.0296397628818969,0,0.0287645264679862,0,1
"immatures_bin",8772,0.0296397628818969,0,0.0287645264679862,0,1
"total_mosquito_emerged",8772,0.147058823529412,0,1.6780634041326,0,42
"aedes_aegypti",8772,0.0805973552211582,0,1.06783920531965,0,42
"aedes_albopictus",8772,0.0418376652986776,0,0.47356579373337,0,30
